year_month,tone
2022-01,0.006986
2022-02,0.0
2022-03,0.0
2022-04,0.0
2022-05,0.023911
2022-06,0.0
2022-07,0.0
2022-08,0.008938
2022-09,0.0
2022-10,0.0
2022-11,0.019224
2022-12,0.006314
2023-01,0.008099
2023-02,0.0
2023-03,0.0
2023-04,0.0
2023-05,0.012221
2023-06,0.0
2023-07,0.0
2023-08,0.0
2023-09,0.0
2023-10,-0.002784
2023-11,0.017234
2023-12,0.0
2024-01,0.0
2024-02,0.0
2024-03,0.0
2024-04,0.0
2024-05,0.005298
2024-06,0.0
2024-07,0.0
2024-08,0.0
2024-09,0.0
2024-10,0.0
2024-11,0.007262
2024-12,0.0
2025-01,0.0
2025-02,0.0
2025-03,0.0
2025-04,0.0
2025-05,0.0
2025-06,0.0
2025-07,0.009284
2025-08,0.000832
2025-09,0.0
2025-10,0.0
2025-11,0.0
2025-12,-0.000872
