year_month,interest
2022-01,15.2
2022-02,0.0
2022-03,0.0
2022-04,11.5
2022-05,13.2
2022-06,14.0
2022-07,0.0
2022-08,0.0
2022-09,0.0
2022-10,0.0
2022-11,28.0
2022-12,13.8
2023-01,11.0
2023-02,12.2
2023-03,0.0
2023-04,0.0
2023-05,0.0
2023-06,0.0
2023-07,0.0
2023-08,0.0
2023-09,0.0
2023-10,12.0
2023-11,55.8
2023-12,49.4
2024-01,17.2
2024-02,0.0
2024-03,0.0
2024-04,0.0
2024-05,0.0
2024-06,0.0
2024-07,0.0
2024-08,0.0
2024-09,0.0
2024-10,0.0
2024-11,24.0
2024-12,19.2
2025-01,15.5
2025-02,0.0
2025-03,18.0
2025-04,0.0
2025-05,0.0
2025-06,0.0
2025-07,0.0
2025-08,0.0
2025-09,0.0
2025-10,0.0
2025-11,0.0
2025-12,0.0
