asset_type,channel,lag,N,W_bar,Z_bar,p_Z_bar,Z_tilde,p_Z_tilde,verdict,F_item1,F_item2,F_item3,F_item4,F_item5,p_bh,verdict_bh
sneakers,score_ch1,1,5,0.6387,-0.5713,0.716088,-0.5878,0.721658,NOT_SIGNIFICANT,2.609,0.006,0.361,0.211,0.006,0.8327,NS
sneakers,score_ch2,1,5,1.2998,0.4741,0.317716,0.3625,0.358471,NOT_SIGNIFICANT,1.187,0.043,2.654,2.358,0.256,0.7488,NS
sneakers,score_ch3,1,5,0.2454,-1.1932,0.883599,-1.1532,0.875576,NOT_SIGNIFICANT,0.497,0.018,0.209,0.246,0.256,0.8756,NS
sneakers,score_ch4,1,5,2.8516,2.9276,0.001708,2.593,0.004757,SIGNIFICANT,1.039,9.607,1.596,1.826,0.19,0.0357,SIG
sneakers,score_ch5,1,5,2.0571,1.6715,0.047312,1.4511,0.073377,MARGINAL,0.833,6.196,0.543,0.772,1.941,0.2201,NS
cards,score_ch1,1,5,3.6542,4.1967,1.4e-05,3.7467,9e-05,SIGNIFICANT,3.549,1.952,1.986,7.983,2.801,0.0014,SIG
cards,score_ch2,1,5,2.3408,2.12,0.017001,1.8589,0.031523,SIGNIFICANT,0.268,9.032,0.038,1.464,0.903,0.1576,NS
cards,score_ch3,1,5,1.15,0.2372,0.406232,0.1472,0.441474,NOT_SIGNIFICANT,0.722,4.282,0.083,0.63,0.033,0.7488,NS
cards,score_ch4,1,5,0.2465,-1.1913,0.88324,-1.1515,0.875233,NOT_SIGNIFICANT,0.533,0.353,0.017,0.074,0.256,0.8756,NS
cards,score_ch5,1,5,2.1164,1.7651,0.03877,1.5362,0.062242,MARGINAL,1.099,4.195,4.432,0.836,0.02,0.2201,NS
lego,score_ch1,1,5,1.4442,0.7023,0.241246,0.57,0.284337,NOT_SIGNIFICANT,0.002,5.714,0.069,0.258,1.178,0.7108,NS
lego,score_ch2,1,5,1.0444,0.0703,0.47199,-0.0046,0.501822,NOT_SIGNIFICANT,0.232,3.741,0.817,0.186,0.245,0.7488,NS
lego,score_ch3,1,5,0.9618,-0.0604,0.524099,-0.1234,0.549103,NOT_SIGNIFICANT,0.053,4.412,0.34,0.001,0.004,0.7488,NS
lego,score_ch4,1,5,1.0376,0.0595,0.476279,-0.0144,0.505729,NOT_SIGNIFICANT,0.0,1.409,0.017,1.315,2.447,0.7488,NS
lego,score_ch5,1,5,0.7196,-0.4433,0.671234,-0.4715,0.681347,NOT_SIGNIFICANT,0.052,0.316,2.403,0.002,0.826,0.8327,NS
