asset_type,series,adf_stat,adf_p,adf_p_diff,differenced,n_obs
sneakers,mean_price,-2.1313,0.2321,0.0,1,48
sneakers,score_ch1,-0.2967,0.926,0.1197,1,48
sneakers,score_ch2,-5.6462,0.0,,0,48
sneakers,score_ch3,-3.5582,0.0066,,0,48
sneakers,score_ch4,-3.973,0.0016,,0,48
sneakers,score_ch5,-4.3606,0.0003,,0,48
cards,mean_price,-2.0456,0.2669,0.0067,1,48
cards,score_ch1,-2.1746,0.2156,0.0,1,48
cards,score_ch2,-4.8794,0.0,,0,48
cards,score_ch3,-1.8343,0.3636,0.0,1,48
cards,score_ch4,-1.9578,0.3054,0.0,1,48
cards,score_ch5,-3.9017,0.002,,0,48
lego,mean_price,-2.5108,0.1129,0.0,1,48
lego,score_ch1,-1.1535,0.6933,0.0,1,48
lego,score_ch2,-5.9193,0.0,,0,48
lego,score_ch3,-5.8173,0.0,,0,48
lego,score_ch4,-6.5949,0.0,,0,48
lego,score_ch5,-3.0007,0.0348,,0,48
