asset_type,channel,lag,F_stat,p,verdict,p_bh,verdict_bh
sneakers,score_ch1,1,1.5408,0.215742,NS,0.299,NS
sneakers,score_ch2,1,0.1353,0.713346,NS,0.7138,NS
sneakers,score_ch3,1,12.123,0.000594,SIG,0.0045,SIG
sneakers,score_ch4,1,2.9097,0.089376,MARG,0.2519,NS
sneakers,score_ch5,1,1.5205,0.218785,NS,0.299,NS
cards,score_ch1,1,16.8189,5.7e-05,SIG,0.0009,SIG
cards,score_ch2,1,2.7148,0.100763,NS,0.2519,NS
cards,score_ch3,1,1.3923,0.239212,NS,0.299,NS
cards,score_ch4,1,2.1934,0.139947,NS,0.2624,NS
cards,score_ch5,1,3.0773,0.080703,MARG,0.2519,NS
lego,score_ch1,1,4.3661,0.037741,SIG,0.1887,NS
lego,score_ch2,1,1.4153,0.23538,NS,0.299,NS
lego,score_ch3,1,0.1455,0.703243,NS,0.7138,NS
lego,score_ch4,1,2.3875,0.123659,NS,0.2624,NS
lego,score_ch5,1,0.1348,0.713791,NS,0.7138,NS
